seed,epoch,domain,n_examples,train_loss,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1
3,7,restaurant,3602,0.4079,0.7385,0.6349,0.8541,0.6591,0.3915
3,8,val,122,0.1964,0.8361,0.4056,0.9167,0.3,0.0
3,8,in_domain,123,0.1964,0.9024,0.5209,0.9541,0.6087,0.0
3,8,laptop,2313,0.1964,0.7428,0.664,0.8162,0.7972,0.3788
3,8,restaurant,3602,0.1964,0.7401,0.5913,0.851,0.6774,0.2454
3,9,val,122,0.2183,0.8197,0.4584,0.9057,0.3158,0.1538
3,9,in_domain,123,0.2183,0.8943,0.6103,0.9444,0.6364,0.25
3,9,laptop,2313,0.2183,0.7332,0.6826,0.8058,0.7937,0.4482
3,9,restaurant,3602,0.2183,0.7407,0.6304,0.8537,0.6576,0.3797
3,10,val,122,0.1212,0.8361,0.4232,0.9167,0.3529,0.0
3,10,in_domain,123,0.1212,0.9024,0.6238,0.9493,0.6364,0.2857
3,10,laptop,2313,0.1212,0.7341,0.6855,0.8058,0.7903,0.4603
3,10,restaurant,3602,0.1212,0.7371,0.6193,0.8507,0.6438,0.3635
5,1,val,122,1.1159,0.7295,0.2812,0.8436,0.0,0.0
5,1,in_domain,123,1.1159,0.7642,0.2888,0.8664,0.0,0.0
5,1,laptop,2313,1.1159,0.415,0.2461,0.589,0.0023,0.1469
5,1,restaurant,3602,1.1159,0.5633,0.2795,0.722,0.0,0.1164
5,2,val,122,1.0647,0.8689,0.4121,0.9286,0.3077,0.0
5,2,in_domain,123,1.0647,0.8862,0.446,0.9381,0.4,0.0
5,2,laptop,2313,1.0647,0.5404,0.3774,0.6558,0.4764,0.0
5,2,restaurant,3602,1.0647,0.6011,0.2511,0.7507,0.0025,0.0
5,3,val,122,0.8236,0.8361,0.4529,0.9143,0.4444,0.0
5,3,in_domain,123,0.8236,0.9024,0.611,0.9541,0.5455,0.3333
5,3,laptop,2313,0.8236,0.6814,0.5312,0.7665,0.741,0.0859
5,3,restaurant,3602,0.8236,0.6505,0.384,0.7812,0.3554,0.0154
5,4,val,122,0.6149,0.8115,0.5443,0.8966,0.4286,0.3077
5,4,in_domain,123,0.6149,0.8618,0.5485,0.934,0.4615,0.25
5,4,laptop,2313,0.6149,0.7224,0.6444,0.8057,0.7702,0.3574
5,4,restaurant,3602,0.6149,0.7124,0.5406,0.8305,0.5994,0.1918
5,5,val,122,0.3826,0.7705,0.4915,0.8744,0.4,0.2
5,5,in_domain,123,0.3826,0.8618,0.6249,0.9282,0.5714,0.375
5,5,laptop,2313,0.3826,0.7026,0.6587,0.7823,0.7708,0.4231
5,5,restaurant,3602,0.3826,0.7163,0.6025,0.8402,0.5821,0.3852
5,6,val,122,0.2467,0.8361,0.4056,0.9167,0.3,0.0
5,6,in_domain,123,0.2467,0.8943,0.5257,0.9455,0.6316,0.0
5,6,laptop,2313,0.2467,0.7233,0.6479,0.8134,0.7708,0.3595
5,6,restaurant,3602,0.2467,0.7149,0.5586,0.836,0.5761,0.2638
5,7,val,122,0.171,0.8443,0.4125,0.9217,0.3158,0.0
5,7,in_domain,123,0.171,0.8943,0.5257,0.9455,0.6316,0.0
5,7,laptop,2313,0.171,0.7259,0.645,0.8132,0.772,0.3497
5,7,restaurant,3602,0.171,0.7099,0.5525,0.8314,0.5581,0.2681
