model,seed,epoch,domain,n_examples,train_loss,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1
RoBERTa ABSA,2024,2,in_domain,123,1.1144,0.5691,0.3333,0.7059,0.2941,0.0
RoBERTa ABSA,2024,2,laptop,2313,1.1144,0.4574,0.3035,0.33,0.5806,0.0
RoBERTa ABSA,2024,2,restaurant,3602,1.1144,0.4181,0.3074,0.4881,0.434,0.0
RoBERTa ABSA,2024,3,val,122,0.8018,0.7623,0.5338,0.8615,0.5,0.24
RoBERTa ABSA,2024,3,in_domain,123,0.8018,0.7805,0.6271,0.8646,0.75,0.2667
RoBERTa ABSA,2024,3,laptop,2313,0.8018,0.6874,0.6573,0.7961,0.7155,0.4602
RoBERTa ABSA,2024,3,restaurant,3602,0.8018,0.6977,0.5842,0.8369,0.5388,0.3769
RoBERTa ABSA,2024,4,val,122,0.5515,0.7623,0.5338,0.8615,0.5,0.24
RoBERTa ABSA,2024,4,in_domain,123,0.5515,0.7967,0.6025,0.8788,0.6087,0.32
RoBERTa ABSA,2024,4,laptop,2313,0.5515,0.6904,0.6706,0.7808,0.7384,0.4926
RoBERTa ABSA,2024,4,restaurant,3602,0.5515,0.6999,0.6166,0.8288,0.6166,0.4044
RoBERTa ABSA,2024,5,val,122,0.4091,0.8279,0.4248,0.9108,0.3636,0.0
RoBERTa ABSA,2024,5,in_domain,123,0.4091,0.9024,0.622,0.9493,0.6667,0.25
RoBERTa ABSA,2024,5,laptop,2313,0.4091,0.7224,0.6347,0.7983,0.7683,0.3374
RoBERTa ABSA,2024,5,restaurant,3602,0.4091,0.7204,0.5389,0.8337,0.6335,0.1494
Standard BERT ABSA,123,1,val,122,1.0854,0.5902,0.3227,0.7386,0.2295,0.0
Standard BERT ABSA,123,1,in_domain,123,1.0854,0.748,0.4236,0.8454,0.4255,0.0
Standard BERT ABSA,123,1,laptop,2313,1.0854,0.4116,0.244,0.1713,0.5607,0.0
Standard BERT ABSA,123,1,restaurant,3602,1.0854,0.4495,0.3209,0.5606,0.4023,0.0
Standard BERT ABSA,123,2,val,122,0.8065,0.6721,0.3712,0.8,0.3137,0.0
Standard BERT ABSA,123,2,in_domain,123,0.8065,0.878,0.6303,0.9327,0.625,0.3333
Standard BERT ABSA,123,2,laptop,2313,0.8065,0.4968,0.3483,0.4441,0.6007,0.0
